wifi_01,wifi_02,wifi_03,wifi_04,wifi_05,wifi_06,wifi_07,room
0.15625,0.6206896551724138,0.36363636363636365,0.16666666666666666,0.33962264150943394,0.4166666666666667,0.4857142857142857,1
0.09375,0.5862068965517241,0.36363636363636365,0.18181818181818182,0.33962264150943394,0.3333333333333333,0.37142857142857144,1
0.171875,0.4827586206896552,0.3939393939393939,0.15151515151515152,0.24528301886792453,0.3333333333333333,0.4,1
0.203125,0.4827586206896552,0.15151515151515152,0.22727272727272727,0.22641509433962265,0.19444444444444445,0.5142857142857142,1
0.171875,0.3103448275862069,0.3939393939393939,0.21212121212121213,0.22641509433962265,0.4444444444444444,0.3142857142857143,1
0.15625,0.6551724137931034,0.30303030303030304,0.16666666666666666,0.24528301886792453,0.25,0.42857142857142855,1
0.140625,0.4482758620689655,0.24242424242424243,0.15151515151515152,0.37735849056603776,0.2777777777777778,0.4,1
0.203125,0.3793103448275862,0.45454545454545453,0.16666666666666666,0.2830188679245283,0.2777777777777778,0.45714285714285713,1
0.140625,0.4827586206896552,0.42424242424242425,0.21212121212121213,0.24528301886792453,0.3055555555555556,0.45714285714285713,1
0.1875,0.4827586206896552,0.21212121212121213,0.13636363636363635,0.16981132075471697,0.3055555555555556,0.2,1
0.109375,0.4482758620689655,0.3333333333333333,0.15151515151515152,0.22641509433962265,0.3888888888888889,0.2,1
0.140625,0.5172413793103449,0.36363636363636365,0.15151515151515152,0.32075471698113206,0.3055555555555556,0.4857142857142857,1
0.171875,0.5862068965517241,0.36363636363636365,0.18181818181818182,0.3018867924528302,0.3611111111111111,0.4,1
0.125,0.4827586206896552,0.24242424242424243,0.22727272727272727,0.3584905660377358,0.3333333333333333,0.42857142857142855,1
0.203125,0.5172413793103449,0.24242424242424243,0.21212121212121213,0.2830188679245283,0.2222222222222222,0.3142857142857143,1
0.109375,0.4827586206896552,0.42424242424242425,0.24242424242424243,0.33962264150943394,0.3055555555555556,0.2,1
0.171875,0.6206896551724138,0.3939393939393939,0.22727272727272727,0.3584905660377358,0.3611111111111111,0.2,1
0.21875,0.6896551724137931,0.42424242424242425,0.18181818181818182,0.3018867924528302,0.3888888888888889,0.4,1
0.21875,0.5517241379310345,0.3939393939393939,0.24242424242424243,0.3018867924528302,0.3611111111111111,0.2857142857142857,1
0.1875,0.5172413793103449,0.30303030303030304,0.19696969696969696,0.3584905660377358,0.3611111111111111,0.4,1
0.171875,0.5172413793103449,0.2727272727272727,0.16666666666666666,0.32075471698113206,0.3611111111111111,0.22857142857142856,1
0.140625,0.5172413793103449,0.21212121212121213,0.18181818181818182,0.39622641509433965,0.4166666666666667,0.37142857142857144,1
0.171875,0.6206896551724138,0.30303030303030304,0.18181818181818182,0.32075471698113206,0.4166666666666667,0.2571428571428571,1
0.109375,0.4827586206896552,0.21212121212121213,0.18181818181818182,0.2641509433962264,0.3055555555555556,0.3142857142857143,1
0.171875,0.5862068965517241,0.18181818181818182,0.16666666666666666,0.18867924528301888,0.3055555555555556,0.2571428571428571,1
0.125,0.5172413793103449,0.2727272727272727,0.13636363636363635,0.39622641509433965,0.0,0.42857142857142855,1
0.140625,0.4482758620689655,0.2727272727272727,0.13636363636363635,0.22641509433962265,0.3055555555555556,0.2571428571428571,1
0.125,0.5862068965517241,0.24242424242424243,0.12121212121212122,0.20754716981132076,0.3333333333333333,0.37142857142857144,1
0.109375,0.5862068965517241,0.2727272727272727,0.09090909090909091,0.2641509433962264,0.2222222222222222,0.3142857142857143,1
0.140625,0.41379310344827586,0.3333333333333333,0.18181818181818182,0.22641509433962265,0.3611111111111111,0.37142857142857144,1
0.203125,0.6896551724137931,0.3939393939393939,0.24242424242424243,0.2830188679245283,0.2777777777777778,0.42857142857142855,1
0.140625,0.7241379310344828,0.3939393939393939,0.22727272727272727,0.37735849056603776,0.3333333333333333,0.42857142857142855,1
0.125,0.6551724137931034,0.30303030303030304,0.18181818181818182,0.39622641509433965,0.3333333333333333,0.22857142857142856,1
0.171875,0.5862068965517241,0.42424242424242425,0.15151515151515152,0.33962264150943394,0.4166666666666667,0.14285714285714285,1
0.171875,0.5862068965517241,0.3333333333333333,0.18181818181818182,0.24528301886792453,0.4166666666666667,0.2857142857142857,1
0.15625,0.5862068965517241,0.3333333333333333,0.15151515151515152,0.39622641509433965,0.3888888888888889,0.4,1
0.09375,0.3793103448275862,0.15151515151515152,0.19696969696969696,0.2830188679245283,0.3055555555555556,0.4,1
0.0625,0.41379310344827586,0.15151515151515152,0.18181818181818182,0.1509433962264151,0.2222222222222222,0.42857142857142855,1
0.109375,0.5172413793103449,0.3333333333333333,0.16666666666666666,0.16981132075471697,0.027777777777777776,0.45714285714285713,1
0.125,0.5172413793103449,0.2727272727272727,0.15151515151515152,0.22641509433962265,0.2777777777777778,0.37142857142857144,1
0.125,0.5172413793103449,0.24242424242424243,0.13636363636363635,0.2641509433962264,0.25,0.4,1
0.109375,0.5172413793103449,0.3333333333333333,0.18181818181818182,0.33962264150943394,0.16666666666666666,0.4,1
